id,candidatoId,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,fecha
28533,9,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,2019-02-20T00:18:41.850052
28541,17,3,5,1,2,4,5,5,5,5,2,3,3,5,5,4,4,5,1,1,5,5,5,5,5,1,5,2019-02-20T00:18:47.109607
28542,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,1,2019-02-20T00:18:47.639302
28548,11,3,5,5,1,5,5,1,5,1,5,5,5,5,5,5,3,5,1,5,3,3,5,5,5,1,5,2019-02-20T00:18:50.640944
28550,2,3,4,5,4,5,4,1,4,4,2,5,1,5,2,1,4,2,5,1,1,1,1,5,1,1,4,2019-02-20T00:18:51.941334
28554,9,3,5,1,3,3,5,3,3,5,3,3,5,5,5,5,3,5,1,2,2,3,3,3,5,3,5,2019-02-20T00:18:54.622353
28557,4,2,2,5,3,5,4,1,1,4,5,2,1,5,1,1,3,1,4,1,1,1,1,5,2,1,5,2019-02-20T00:18:56.412588
28573,9,3,5,1,1,1,5,4,5,5,5,5,5,5,5,1,3,5,1,3,5,5,5,5,5,5,5,2019-02-20T00:19:15.127431
28576,3,5,1,5,1,3,5,1,5,1,5,5,1,5,1,1,5,1,3,1,1,1,3,5,1,1,5,2019-02-20T00:19:16.858487
28593,9,3,4,3,3,1,5,4,5,4,2,2,3,5,4,2,4,5,3,4,5,4,2,5,5,1,5,2019-02-20T00:19:38.039969
28601,3,4,2,5,2,5,1,1,3,4,1,5,1,5,1,3,3,1,4,2,1,1,2,5,1,1,5,2019-02-20T00:19:43.214393
28604,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-02-20T00:19:46.390061
28606,17,3,4,2,2,2,5,2,4,3,2,3,3,5,2,2,4,4,2,4,3,4,4,4,5,2,5,2019-02-20T00:19:47.378430
28607,11,4,5,1,5,3,5,5,3,4,1,1,2,5,2,3,4,4,2,4,5,5,4,5,1,5,1,2019-02-20T00:19:48.072693
28609,10,3,5,3,4,4,5,3,2,4,3,1,2,4,4,3,3,5,1,2,3,4,3,4,4,2,5,2019-02-20T00:19:49.833610
28626,17,2,5,2,2,3,3,2,2,4,4,2,4,5,2,2,4,3,1,2,1,2,4,5,4,1,4,2019-02-20T00:20:05.136814
28641,2,5,3,4,5,5,4,1,2,4,3,5,1,4,1,3,3,1,3,1,3,1,3,2,2,1,4,2019-02-20T00:20:18.610117
28643,17,5,5,1,3,1,5,5,5,5,2,5,1,5,4,5,2,5,1,1,5,3,5,5,3,3,5,2019-02-20T00:20:19.951365
28650,10,5,5,5,1,3,5,5,5,5,3,1,5,5,3,5,5,1,5,3,1,1,1,5,3,1,5,2019-02-20T00:20:24.779983
28652,9,3,5,1,1,3,3,3,5,5,5,1,5,5,5,5,5,5,1,5,5,3,5,3,5,1,5,2019-02-20T00:20:25.746891
28658,3,4,5,5,3,5,5,3,2,5,5,4,1,4,1,1,4,1,5,2,1,1,1,5,1,1,5,2019-02-20T00:20:32.698574
28664,3,3,2,5,2,5,3,1,2,4,4,1,3,5,1,1,2,1,5,1,1,1,1,5,1,1,5,2019-02-20T00:20:36.673916
28667,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-02-20T00:20:39.003499
28669,4,5,1,5,1,5,3,1,3,4,1,5,1,4,1,1,3,1,2,1,1,1,2,5,1,1,5,2019-02-20T00:20:40.886768
28677,4,4,1,5,2,5,1,1,3,4,5,4,1,4,1,1,4,1,4,1,1,1,1,5,1,1,5,2019-02-20T00:20:44.979134
28680,9,3,5,2,5,3,5,5,5,5,3,5,1,5,5,5,5,5,1,5,3,5,3,5,5,3,5,2019-02-20T00:20:46.721345
28686,1,2,3,5,1,3,3,1,4,1,5,1,1,3,1,1,2,1,5,1,1,1,1,5,1,1,5,2019-02-20T00:20:49.750374
28690,17,5,5,3,1,3,5,3,1,5,3,1,5,2,3,5,5,5,1,1,3,3,1,5,1,1,5,2019-02-20T00:20:52.403899
28710,2,2,4,1,1,4,2,4,4,4,3,4,1,5,1,3,3,4,1,1,1,2,1,5,1,1,4,2019-02-20T00:21:06.090177
28711,1,2,2,5,2,4,2,1,1,4,4,2,1,4,1,1,4,1,5,2,1,1,2,5,1,1,4,2019-02-20T00:21:10.120696
28715,17,5,5,4,5,4,5,3,4,4,3,5,4,5,5,4,4,5,5,4,4,4,5,5,5,2,5,2019-02-20T00:21:13.536117
28727,2,2,5,4,4,5,5,2,4,5,3,1,1,4,1,4,3,1,5,2,2,3,2,5,4,1,5,2019-02-20T00:21:23.605155
28736,9,3,4,3,1,3,4,2,4,3,3,1,1,3,1,1,2,1,3,1,1,1,1,5,1,1,3,2019-02-20T00:21:29.287285
28742,9,4,1,4,2,4,5,4,3,4,3,4,2,4,4,4,4,4,5,2,5,2,4,5,3,3,4,2019-02-20T00:21:33.432404
28745,17,3,5,1,3,1,4,4,5,4,2,3,1,5,3,1,4,5,1,2,5,5,5,5,3,5,5,2019-02-20T00:21:34.857080
28748,4,3,3,5,3,5,3,1,3,5,5,5,1,5,1,1,3,1,5,1,1,1,1,5,1,1,5,2019-02-20T00:21:37.193043
28752,17,2,5,1,1,5,5,3,5,4,1,3,3,5,4,1,4,5,2,2,1,1,1,5,1,1,5,2019-02-20T00:21:39.496339
28758,11,4,5,3,1,1,1,5,5,2,5,5,5,5,4,5,5,5,3,5,1,1,5,5,1,1,5,2019-02-20T00:21:40.072309
28760,4,2,4,3,5,4,5,2,4,5,3,4,4,4,4,3,2,2,3,5,2,5,5,5,2,2,4,2019-02-20T00:21:43.684213
